URL,productImage ,imageBack,Headline,Description ,price,rating
https://www.ikea.com/rs/sr/p/vihals-sto-bela-bela-s49589970/,https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1414861_pe974938_s5.jpg?f=xxs,VIHALS,"Sto, bela/bela, 107 cm",8.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/pinntorp-sto-na-preklop-svetlosmede-bajcovano-belo-bajcovano-70529465/,https://www.ikea.com/rs/sr/images/products/pinntorp-sto-na-preklop-svetlosmede-bajcovano-belo-bajcovano__1118101_pe872927_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/pinntorp-sto-na-preklop-svetlosmede-bajcovano-belo-bajcovano__1301722_pe937539_s5.jpg?f=xxs,PINNTORP,"Sto na preklop, svetlosmeđe bajcovano/belo bajcovano, 67/124x75 cm",14.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/borgeby-stocic-za-kafu-brezov-furnir-70389356/,https://www.ikea.com/rs/sr/images/products/borgeby-stocic-za-kafu-brezov-furnir__0987623_pe817609_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/borgeby-stocic-za-kafu-brezov-furnir__0949801_pe800020_s5.jpg?f=xxs,BORGEBY,"Stočić za kafu, brezov furnir, 70 cm",12.999,Pregled: 4.4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/skogsta-trpezarijski-sto-bagrem-crna-20593802/,https://www.ikea.com/rs/sr/images/products/skogsta-trpezarijski-sto-bagrem-crna__1542798_pe1018529_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/skogsta-trpezarijski-sto-bagrem-crna__1469332_pe996488_s5.jpg?f=xxs,SKOGSTA,"Trpezarijski sto, bagrem/crna, 120 cm",29.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/gaperhult-produzivi-sto-jasen-bela-50511536/,https://www.ikea.com/rs/sr/images/products/gaperhult-produzivi-sto-jasen-bela__1015086_pe829866_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/gaperhult-produzivi-sto-jasen-bela__1015059_pe829854_s5.jpg?f=xxs,GAPERHULT,"Produživi sto, jasen/bela, 90/120x90 cm",22.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/sonhult-set-stocica-2-kom-zuta-im-brezovine-50578555/,https://www.ikea.com/rs/sr/images/products/sonhult-set-stocica-2-kom-zuta-im-brezovine__1329105_pe945080_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/sonhult-set-stocica-2-kom-zuta-im-brezovine__1344313_pe949819_s5.jpg?f=xxs,SONHULT,"Set stočića, 2 kom., žuta/im. brezovine",5.499,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/lisabo-sto-jasenov-furnir-40416498/,https://www.ikea.com/rs/sr/images/products/lisabo-sto-jasenov-furnir__0631745_pe695175_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/lisabo-sto-jasenov-furnir__1470757_pe996934_s5.jpg?f=xxs,LISABO,"Sto, jasenov furnir, 105 cm",19.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/aemmaryd-pomocni-stocic-bela-80609126/,https://www.ikea.com/rs/sr/images/products/aemmaryd-pomocni-stocic-bela__1447804_pe989266_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/aemmaryd-pomocni-stocic-bela__1466109_pe995236_s5.jpg?f=xxs,ÄMMARYD,"Pomoćni stočić, bela, 59x40 cm",4.699,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/lack-stocic-za-kafu-bela-80449901/,https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750651_pe746801_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0702214_pe724347_s5.jpg?f=xxs,LACK,"Stočić za kafu, bela, 118x78 cm",4.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/hauga-sto-na-rasklapanje-siva-brezov-furnir-80586002/,https://www.ikea.com/rs/sr/images/products/hauga-sto-na-rasklapanje-siva-brezov-furnir__1351983_pe952095_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/hauga-sto-na-rasklapanje-siva-brezov-furnir__1375862_pe960374_s5.jpg?f=xxs,HAUGA,"Sto na rasklapanje, siva/brezov furnir, 55/82/109x74 cm",14.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/nordviken-sto-na-rasklapanje-crna-70368716/,https://www.ikea.com/rs/sr/images/products/nordviken-sto-na-rasklapanje-crna__0714209_pe729967_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/nordviken-sto-na-rasklapanje-crna__0797427_pe766871_s5.jpg?f=xxs,NORDVIKEN,"Sto na rasklapanje, crna, 74/104x74 cm",19.999,Pregled: 4.3 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naesinge-sto-bela-60587535/,https://www.ikea.com/rs/sr/images/products/naesinge-sto-bela__1393639_pe966302_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naesinge-sto-bela__1445393_pe988190_s5.jpg?f=xxs,NÄSINGE,"Sto, bela, 80x60 cm",12.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/tingby-pomocni-stocic-tockici-bela-20295930/,https://www.ikea.com/rs/sr/images/products/tingby-pomocni-stocic-tockici-bela__0441842_pe593578_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/tingby-pomocni-stocic-tockici-bela__0987358_pe817503_s5.jpg?f=xxs,TINGBY,"Pomoćni stočić, točkići, bela, 50x50 cm",3.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/gunde-sklopivi-sto-crna-00546897/,https://www.ikea.com/rs/sr/images/products/gunde-sklopivi-sto-crna__1300756_pe937177_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/gunde-sklopivi-sto-crna__1352625_pe952212_s5.jpg?f=xxs,GUNDE,"Sklopivi sto, crna, 67x67 cm",3.499,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/moerbylanga-sto-hrastov-furnir-smede-bajcovano-50386245/,https://www.ikea.com/rs/sr/images/products/moerbylanga-sto-hrastov-furnir-smede-bajcovano__0737108_pe740890_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/moerbylanga-sto-hrastov-furnir-smede-bajcovano__1209072_pe909012_s5.jpg?f=xxs,MÖRBYLÅNGA,"Sto, hrastov furnir smeđe bajcovano, 140x85 cm",71.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
