URL,productImage ,imageBack,Headline,Description ,price,plp-rating__sr-only
https://www.ikea.com/rs/sr/p/naemmaroe-lezaljka-napolju-svetlosmede-bajcovano-30503354/,https://www.ikea.com/rs/sr/images/products/naemmaroe-lezaljka-napolju-svetlosmede-bajcovano__1138752_pe880052_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-lezaljka-napolju-svetlosmede-bajcovano__1185535_pe898456_s5.jpg?f=xxs,NÄMMARÖ,"Ležaljka, napolju svetlosmeđe bajcovano",14.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/jolpen-sofa-dvosed-spolja-bela-siva-60515483/,https://www.ikea.com/rs/sr/images/products/jolpen-sofa-dvosed-spolja-bela-siva__1138956_pe880161_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/jolpen-sofa-dvosed-spolja-bela-siva__1180716_pe896424_s5.jpg?f=xxs,JOLPEN,"Sofa dvosed,spolja, bela/siva, 100x59x67 cm",6.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/stackholmen-stolicica-spolja-svetlosmede-bajcovano-20411425/,https://www.ikea.com/rs/sr/images/products/stackholmen-stolicica-spolja-svetlosmede-bajcovano__0728393_pe736231_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/stackholmen-stolicica-spolja-svetlosmede-bajcovano__0917932_ph158839_s5.jpg?f=xxs,STACKHOLMEN,"Stoličica,spolja, svetlosmeđe bajcovano, 48x35x43 cm",3.999,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/helgeoe-ukrasna-sipka-za-sto-crna-podesivo-napolju-u-zatvorenom-50562050/,https://www.ikea.com/rs/sr/images/products/helgeoe-ukrasna-sipka-za-sto-crna-podesivo-napolju-u-zatvorenom__1242277_pe920486_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/helgeoe-ukrasna-sipka-za-sto-crna-podesivo-napolju-u-zatvorenom__1243035_pe920487_s5.jpg?f=xxs,HELGEÖ,"Ukrasna šipka za sto, crna podesivo/napolju u zatvorenom, 115/235x116 cm",2.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/tanebro-pomocni-stocic-unutra-spolja-boja-antracita-60578970/,https://www.ikea.com/rs/sr/images/products/tanebro-pomocni-stocic-unutra-spolja-boja-antracita__1298329_pe936207_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/tanebro-pomocni-stocic-unutra-spolja-boja-antracita__1323450_pe942709_s5.jpg?f=xxs,TÅNEBRO,"Pomoćni stočić, unutra/spolja/boja antracita, 46 cm",2.499,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/taernoe-sto-i-2-stolicice-spolja-preklopno-preklopno-s19615517/,https://www.ikea.com/rs/sr/images/products/taernoe-sto-i-2-stolicice-spolja-preklopno-preklopno__1475633_pe998622_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/taernoe-sto-i-2-stolicice-spolja-preklopno-preklopno__1495124_pe1004953_s5.jpg?f=xxs,TÄRNÖ,"Sto i 2 stoličice, spolja, preklopno/preklopno, 55x54 cm",4.999,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/strandoen-lezaljka-raznobojno-70600466/,https://www.ikea.com/rs/sr/images/products/strandoen-lezaljka-raznobojno__1503595_pe1007919_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/strandoen-lezaljka-raznobojno__1476345_pe998851_s5.jpg?f=xxs,STRANDÖN,"Ležaljka, raznobojno",2.999,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/askholmen-stolica-s-rukohvatima-spolja-tamnosmeda-50535684/,https://www.ikea.com/rs/sr/images/products/askholmen-stolica-s-rukohvatima-spolja-tamnosmeda__1285186_pe933255_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/askholmen-stolica-s-rukohvatima-spolja-tamnosmeda__1245022_pe921449_s5.jpg?f=xxs,ASKHOLMEN,"Stolica s rukohvatima,spolja, tamnosmeđa",5.000,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/taernoe-sto-spolja-bela-zelena-70530954/,https://www.ikea.com/rs/sr/images/products/taernoe-sto-spolja-bela-zelena__1153876_pe885877_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/taernoe-sto-spolja-bela-zelena__1154045_pe885925_s5.jpg?f=xxs,TÄRNÖ,"Sto, spolja, bela/zelena, 55x54 cm",2.999,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/bockoen-hamnoen-mrezasta-lezaljka-s-nosecom-konstr-crna-boja-antracita-bela-s59495773/,https://www.ikea.com/rs/sr/images/products/bockoen-hamnoen-mrezasta-lezaljka-s-nosecom-konstr-crna-boja-antracita-bela__1146335_pe882997_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/bockoen-hamnoen-mrezasta-lezaljka-s-nosecom-konstr-crna-boja-antracita-bela__1185298_pe898345_s5.jpg?f=xxs,BOCKÖN / HAMNÖN,"Mrežasta ležaljka s nosećom konstr., crna/boja antracita bela",12.999,Pregled: 3.5 od 5 Zvezdice. Ukupno recenzija:
